Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
244171005,Mentira,Juan Gómez-Jurado,"Gómez-Jurado, Juan",,"=""8466683089""","=""9788466683081""",0,3.56,Ediciones B,Hardcover,672,2026,,,2026/02/24,currently-reading,currently-reading (#2),currently-reading,,,,1,0
244603660,El tesoro de la condesa,Adolfina Alcañiz Lopezosa,"Lopezosa, Adolfina Alcañiz",,"=""""","=""9798276756769""",0,4.92,Independently published,Paperback,262,2025,,,2026/02/24,currently-reading,currently-reading (#1),currently-reading,,,,1,0
99404826,La cuarta mirada (Spanish Edition),Maria Jose Alfonso Bartolome,"Bartolome, Maria Jose Alfonso",,"=""""","=""""",5,5.00,,Kindle Edition,263,2017,,2026/02/21,2026/02/18,,,read,"La cuarta mirada es una historia de resiliencia profunda narrada desde la intimidad de quien ha vivido la adversidad y ha decidido no dejarse vencer por ella. A través de la vida de Clara, acompañamos a una niña cuya infancia queda marcada por experiencias duras que la obligan a crecer antes de tiempo, pero también a encontrar dentro de sí misma una fuerza inesperada. Cada etapa —dolor, aprendizaje, resistencia— refleja cómo la protagonista va transformando su historia y desarrollando esa “cuarta mirada”: la que mira hacia adelante con valentía y esperanza.<br/>La novela no se detiene en lo trágico; lo entiende, lo siente y luego lo supera con honestidad emocional. Es un canto a la posibilidad de ser feliz incluso cuando la vida resulta difícil, y un recordatorio de que el pasado puede convertirse en una herramienta de crecimiento en lugar de una carga permanente.<br/>Una lectura emotiva y sincera, ideal para quienes buscan historias sobre la fortaleza interior y la esperanza que surge después de atravesar tormentas personales.",,,1,0
244304208,NO SOY EL TÍPICO CUENTO DE NAVIDAD:: Un cuento donde la magia y el desastre van de la mano. (Spanish Edition),Maria Jose Alfonso Bartolome,"Bartolome, Maria Jose Alfonso",,"=""""","=""""",5,5.00,,Kindle Edition,206,2025,,2026/02/17,2026/02/10,,,read,"Si algo define No soy el típico cuento de Navidad es su intención clara desde el propio título: desmontar la idea clásica de las historias navideñas dulces, previsibles y envueltas únicamente en luces y finales perfectos.<br/>La novela se mueve en un terreno más humano y cercano, mostrando la Navidad como un escenario donde afloran emociones reales: nostalgia, heridas del pasado, relaciones complejas y la necesidad —a veces silenciosa— de sentirse comprendido. No es una historia que busque idealizar las fiestas, sino usarlas como telón de fondo para hablar de las personas, de sus contradicciones y de esos momentos vitales donde todo parece detenerse y obliga a mirar hacia dentro.<br/>A nivel narrativo, el libro combina tono emocional con una mirada contemporánea, alejándose del cuento moral tradicional para apostar por personajes más imperfectos y, precisamente por eso, más creíbles. La autora construye una historia donde lo importante no es la Navidad en sí, sino lo que representa: segundas oportunidades, reconciliaciones posibles y la esperanza de que incluso en los periodos más fríos del año puede aparecer algo cálido.<br/>El ritmo suele apoyarse más en la atmósfera y en la evolución emocional que en la acción, lo que hace que la lectura funcione especialmente bien para quien busca una historia íntima, reflexiva y con un punto de melancolía.<br/>En conjunto, es una novela que encaja con lectores que quieren sentir la Navidad desde un prisma menos idealizado y más emocional, donde la verdadera magia no está en lo extraordinario, sino en los pequeños gestos y en las decisiones que cambian una vida.",,,1,0
245410725,Atrévete a soñar (Spanish Edition),Marina Redondo,"Redondo, Marina",,"=""""","=""""",5,4.92,,Kindle Edition,144,2025,,2026/02/10,2026/02/05,,,read,"Atrévete a soñar funciona como una reinterpretación emocional del mito de Peter Pan, pero llevándolo a un terreno más íntimo y contemporáneo. La historia no se queda solo en la aventura o en la fantasía del “no crecer”, sino que explora el precio real de quedarse atrapado entre lo que fuimos y lo que estamos llamados a ser.<br/><br/>La novela construye un puente entre la nostalgia de la infancia y la necesidad de avanzar. A través de sus personajes —con ecos claros del universo de Nunca Jamás— se percibe el conflicto entre refugiarse en los sueños o tener el valor de vivirlos en el mundo real. Hay momentos que transmiten sensación de hogar, de pertenencia, y otros que empujan hacia el cambio, hacia aceptar que crecer no siempre significa perder la magia.<br/><br/>El tono es cercano y accesible, con una sensibilidad juvenil pero con reflexiones que pueden tocar también a lectores adultos. Destaca especialmente la forma en la que mezcla emoción, identidad y segundas oportunidades, dejando una sensación final de esperanza: soñar no es escapar, es encontrar el valor para avanzar.<br/><br/>En conjunto, es una lectura que conecta con esa parte de todos nosotros que aún mira al cielo preguntándose si todavía es posible creer en lo imposible… y decidir, aun así, intentarlo.",,,1,0
209412472,Cuando una meiga se cruza en tu Camino: Una bruja puede cambiar tu destino (Spanish Edition),María Alfonso Bartolome,"Bartolome, María Alfonso",,"=""""","=""""",5,5.00,,Kindle Edition,98,2024,,2026/02/07,2026/02/07,,,read,"Hay historias que no hablan solo de magia, sino de los caminos invisibles que nos cambian sin avisar. Cuando una meiga se cruza en tu camino se mueve justo ahí: entre la tradición, el misterio y ese aire atlántico donde lo real y lo imposible parecen darse la mano.<br/>La novela juega con el imaginario de las meigas —figuras muy ligadas al folclore del norte— para construir una historia donde el destino, las decisiones y las emociones pesan tanto como lo sobrenatural. No es solo una historia de brujería: es una historia sobre lo que ocurre cuando algo (o alguien) te obliga a mirarte por dentro y a replantearte tu rumbo.<br/>Es un libro que se lee con sensación de leyenda susurrada al oído, con ese tono entre melancólico y mágico que deja poso después de cerrar la última página.",,,1,0
26524859,Intemporalis (Spanish Edition),Michèle  Rodríguez,"Rodríguez, Michèle",,"=""1511959754""","=""9781511959759""",5,4.80,CreateSpace Independent Publishing Platform,Paperback,244,2015,2015,2026/02/05,2026/01/30,,,read,"Intemporalis es de esas historias que parecen susurrarte desde otra época. La novela nos lleva a la Normandía de finales de los 90, donde Alex descubre un amor imposible que desafía el tiempo, la guerra y la propia lógica de la vida. <br/>Entre niebla, un lago y una vieja mansión, la historia mezcla emoción, destino y ese tipo de sentimientos que no entienden de calendarios. No es solo una historia de amor: habla de crecer, de elegir, de luchar contra lo que parece inevitable. <br/>Es un libro que se siente atemporal, delicado y con ese punto de magia que hace que cierres la última página con la sensación de haber vivido algo más que una historia.",,,1,0
58363668,El caso de la chica del pelo verde,Maria Jose Alfonso Bartolome,"Bartolome, Maria Jose Alfonso",,"=""""","=""""",5,4.53,,Kindle Edition,291,2020,,2026/01/30,2026/01/27,,,read,"El caso de la chica del pelo verde es una novela intensa y humana que te agarra desde el primer momento. La historia sigue a Idoia, una adolescente emocionalmente frágil que ha crecido en un entorno caótico, y a Clara, una psicóloga infantil que decide acompañarla más allá de lo profesional. La relación entre ambas y el apoyo que Idoia encuentra en el arte y en quienes la rodean dibuja una trama profunda y conmovedora. <br/>La novela se desarrolla en la isla de La Palma, y ese paisaje no es solo un escenario: acompaña y enmarca los cambios internos de los personajes, reflejando sus miedos, confusiones y pequeñas victorias. Los temas de identidad, angustia y crecimiento personal se entrelazan con sensibilidad y verdad, haciendo que la lectura conecte tanto con la mente como con el corazón del lector. <br/>Una historia recomendable para quienes buscan un thriller con alma, personajes complejos y una mirada honesta sobre la lucha por encontrar equilibrio y sentido propio.",,,1,0
18769932,"El proyecto esposa (Don Tillman, #1)",Graeme Simsion,"Simsion, Graeme","Magdalena Palmer, W.H. Chong","=""8498385547""","=""9788498385540""",4,4.01,Salamandra,Paperback,315,2013,2013,2019/04/08,2019/04/04,,,read,,,,1,0
199259636,El triángulo del silencio,Michèle  Rodríguez,"Rodríguez, Michèle",,"=""""","=""9798858522942""",5,4.64,AMAZON,Paperback,258,2023,2023,2026/01/27,2026/01/24,,,read,"El triángulo del silencio es una novela que no se olvida fácil: aborda el acoso escolar con una honestidad que duele, conmueve y, al mismo tiempo, abre los ojos. La historia arranca cuando Cecilia, una profesora, recibe la cartera de Esther, una adolescente cuyo diario revela el tormento silencioso al que la someten sus compañeros. A partir de ahí, se despliega una carrera contrarreloj para comprender lo que ocurre detrás de puertas cerradas y evitar un desenlace trágico que parece inminente. <br/>Lo más impactante de la novela es cómo Michèle Rodríguez pone al lector dentro de la mente de quienes sufren, de quienes observan y de quienes callan, mostrando que el silencio no es vacío: es complicidad, miedo y, a veces, dolor profundo. Además, la historia no solo denuncia la crueldad del bullying, sino que también ilumina la importancia de la empatía, la solidaridad y la voz de quienes deciden no mirar hacia otro lado.<br/>Una lectura intensa, necesaria y sorprendentemente humana, que te invita a reflexionar sobre lo que callamos y lo que podríamos cambiar si nos atreviéramos a hablar.",,,1,0
203303558,Cárceles de tinta (Spanish Edition),Michèle  Rodríguez,"Rodríguez, Michèle",,"=""""","=""""",5,5.00,,Kindle Edition,268,2023,2023,2026/01/23,2026/01/18,,,read,"Cárceles de tinta es una novela juvenil que te atrapa desde el primer sueño recurrente. Damián no entiende por qué vuelve siempre a una playa misteriosa… hasta que una voz pidiendo auxilio lo empuja a descubrir que hay algo más allá de lo que conocía. Pronto se encuentra delante de personajes creados por un escritor, atrapados en un mundo paralelo parecido al nuestro, que ansían libertad y significado propio. <br/>Lo que más me llamó la atención es cómo la autora juega con la idea de que la imaginación es un lugar real: personajes que cobran vida, que sienten, que desean decidir su propio destino. La historia mezcla fantasía, suspense y humanidad con una ligereza que hace que cada página se lea con curiosidad y ganas de saber más.<br/>Es una novela ideal si te atraen los mundos que exploran la frontera entre lo imaginario y lo real, con personajes entrañables, situaciones que sorprenden y una reflexión sutil sobre lo que significa ser libre —incluso cuando todo parece trazar tu camino.",,,1,0
208882018,GEOMANCIA Y HUEVOS FRITOS (Spanish Edition),Victoria F. Leffingwell,"Leffingwell, Victoria F.",,"=""""","=""""",5,4.83,,Kindle Edition,250,2024,,2026/01/20,2026/01/16,,,read,Geomancia y huevos fritos es una novela sorprendente que combina lo cotidiano con lo inesperado: desde una especialista en geomancia —una práctica ancestral que busca interpretar la tierra y sus señales,,,1,0
242054712,Aleteo Sensual: Recopilación de Relatos eróticos (Spanish Edition),M. V. Tximeleta,"Tximeleta, M. V.",,"=""""","=""""",5,4.62,,Kindle Edition,74,2025,,2026/01/18,2026/01/18,,,read,"Aleteo sensual, de M. V. Tximeleta, es una lectura íntima y directa, donde el deseo se construye con naturalidad y emoción. La historia fluye con una prosa cercana, sin excesos, dejando que la atracción y los sentimientos vayan marcando el ritmo.<br/>Una novela breve pero intensa, ideal para quienes disfrutan del romance sensual contado con delicadeza y verdad.",,,1,0
144918843,"A TUMBA ABIERTA: Muerte, amor y suspense sobre ruedas (Spanish Edition)",Begoña Gallego de la Iglesia,"Iglesia, Begoña Gallego de la",,"=""""","=""""",5,4.81,,Kindle Edition,254,2023,,2026/01/16,2025/12/05,,,read,"A tumba abierta es una novela que te lleva de lleno al ritmo frenético de la vida… y al lado más oscuro que a veces la acompaña. Desde las primeras páginas te encuentras con un mundo donde los sueños y las pasiones se mezclan con decisiones que tienen consecuencias profundas y, a menudo, inesperadas.<br/>La historia gira en torno a Alicia, Braider y Emi —tres personajes que parecen avanzar con determinación hacia lo que desean, pero que muy pronto descubren que la realidad no siempre responde como esperamos. Contratados por un equipo ciclista profesional patrocinado por el padre de Emi, creen que su sueño está al alcance de la mano… hasta que ese sueño se desmorona y los arrastra hacia un mundo donde la violencia, la venganza y los secretos se entrelazan con el misterio.<br/>Lo que me atrapó realmente fue cómo la autora mezcla el suspense con momentos de tensión emocional, sin perder de vista el corazón de los personajes. Hay giros que sorprenden y escenas que te mantienen leyendo, sin poder soltar el libro. El desarrollo no solo explora el crimen y la intriga, sino también la complejidad de las relaciones humanas cuando las circunstancias los empujan al límite.<br/>A tumba abierta se siente intensa, visceral y, sobre todo, muy humana. Es una historia que no solo entretiene, sino que también invita a pensar en cómo las decisiones que tomamos nos pueden llevar por caminos que nunca imaginamos. En definitiva, una novela que atrapa, emociona y deja huella.",,,1,0
221030383,¡QUÉ SUERTE LA MÍA! (Spanish Edition),Elena De La Cruz,"Cruz, Elena De La",,"=""""","=""""",5,4.06,,Kindle Edition,251,2024,,2026/01/16,2026/01/15,,,read,"¡Qué suerte la mía! me sorprendió por su frescura y su capacidad para arrancar sonrisas desde el primer capítulo. Esta novela mezcla humor, situaciones disparatadas y personajes que no se andan con rodeos, todo ello envuelto en ese caos agradable que hace que leer sea un placer desde la primera página hasta la última.<br/>La protagonista es el alma de la historia: divertida, espontánea y con una visión tan honesta de sus propios enredos que resulta imposible no conectar con ella. A través de sus aventuras te ríes, te sorprendes y, sobre todo, te dejas llevar por un ritmo ágil que convierte cada capítulo en una pequeña recompensa.<br/>Lo que más me gustó es cómo la autora equilibra el humor y la ternura sin perder naturalidad. Aquí no hay fórmulas ni artificios: hay momentos que te hacen soltar la respiración de la risa y otros que te tocan más hondo, porque bajo la comedia hay verdad y humanidad.<br/>¡Qué suerte la mía! es ideal si buscas una lectura ligera pero con chispa, una historia que alegre la tarde y te deje con una sonrisa duradera. Muy recomendable para quienes disfrutan de una comedia romántica divertida, llena de energía y con corazón.",,,1,0
239665527,"A Kilómetros de Distancia: Lorena Entre Dos Mundos. Una historia de amor, emigración, y segundas oportunidades. (Lorena a dos Mundos nº 1) (Spanish Edition)",Mari Sang,"Sang, Mari",,"=""""","=""""",5,5.00,Letras Eternas Ediciones L.E.E.,Kindle Edition,139,2025,,2026/01/12,2026/01/03,,,read,"Hay historias que se sienten como una brisa suave que te acompaña mientras lees, y A kilómetros de distancia es una de ellas. Esta novela sigue a Lorena, una mujer que no viaja por aventura, sino por necesidad —dejar atrás su ciudad, su familia y todo lo conocido para buscar oportunidades en un país lejano cuando la desigualdad y la pobreza se ciernen sobre su hogar. <br/><br/>Lo que más me conmovió es cómo la autora retrata la emigración desde dentro: no con grandes discursos, sino con emociones cotidianas que duelen y abrazan. Lorena no solo se enfrenta a un nuevo país lleno de diferencias de idioma, costumbres y miradas, sino también al eco de lo que dejó atrás —los aromas de su infancia, la risa de sus amigos, los vínculos familiares que la siguen llamando. <br/><br/>La narrativa alterna entre el pasado, lleno de raíces y nostalgia, y el presente en Nueva York, con sus retos, incertidumbres y pequeñas victorias. Cada página te acerca más a esa sensación de estar entre dos mundos: uno que conoces de memoria y otro que te exige reinventarte. <br/><br/>Pero en medio de los desafíos, también hay amor, solidaridad y segundas oportunidades que iluminan el camino. Es una historia de resiliencia, de aprender a construir una nueva vida sin olvidar quién eres ni de dónde vienes. <br/><br/>Una lectura cálida y sincera que te invita a sentir desde dentro lo que significa estar lejos de casa… y, aun así, encontrar razones para seguir adelante.",,,1,0
58244248,Greta y el último viaje en el tiempo,Mari Sang,"Sang, Mari",,"=""""","=""""",5,4.52,,ebook,,2021,,2026/01/02,2025/12/28,,,read,"En un futuro cercano donde la Tierra se ha vuelto casi inhabitable, Greta nos presenta una protagonista que ha perdido todo —esperanza, compañía y luz interior— hasta que una visita inesperada en su cumpleaños cambia el rumbo de su existencia. La historia, ambientada en el año 2048, es una mezcla de ciencia ficción y reflexión profunda: no solo sobre los viajes en el tiempo, sino sobre nuestras decisiones, el cuidado de nuestro planeta y las oportunidades que dejamos pasar. <br/>Lo que más me atrapó de esta novela es esa capacidad de combinar una aventura distópica con una historia de crecimiento y amor. Greta, cansada y sin rumbo, no es un personaje perfecto, pero su vulnerabilidad la hace cercana y humana. A través de su viaje —físico y emocional—, la narración consigue que uno se pregunte sobre las huellas que dejamos en el mundo y en los demás, y sobre cómo incluso en los escenarios más adversos puede surgir una chispa de cambio. <br/>Mari Sang escribe con sencillez y claridad, haciendo que temas como el cambio climático, la responsabilidad colectiva y la esperanza no se impongan con pesadez, sino que se integren de manera natural en la trama. Al final, Greta: Y el último viaje en el tiempo es más que una historia de ciencia ficción: es un llamado a mirar hacia adelante sin perder de vista lo que importa, una invitación a creer que todavía podemos influir en nuestro futuro. <br/>Una lectura inspiradora y reflexiva, ideal para quienes disfrutan de historias con mensaje y corazón.",,,1,0
245100691,El faro y la brisa (Spanish Edition),Carlos Perez,"Perez, Carlos",,"=""""","=""""",5,5.00,EDITORIAL RUNARIS,Kindle Edition,222,2025,,,2025/12/30,,,read,,,,1,0
243107070,Orballo (#Proyecto Morriña) (Spanish Edition),Carlos Pérez García,"García, Carlos Pérez",,"=""""","=""9798264880322""",5,5.00,Independently published,Paperback,285,2025,,2025/12/30,2025/10/24,,,read,,,,1,0
233929846,Morriña: El pasado nunca muere. Solo cambia de forma. (#Proyecto Morriña) (Spanish Edition),Carlos Pérez García,"García, Carlos Pérez",,"=""""","=""9798283323381""",5,4.30,Independently published,Paperback,245,2025,,2025/12/30,2025/05/27,,,read,,,,1,0
1242062,Desayuno en Tiffany's,Truman Capote,"Capote, Truman",Enrique Murillo,"=""""","=""""",3,3.71,Anagrama,Paperback,158,2004,1958,2023/12/11,2023/12/11,,,read,,,,1,0
245247772,"Olor a Navidad: Una comedia romántica navideña con perfume caro, malas decisiones y amor del bueno (Spanish Edition)",Victorya Serrada,"Serrada, Victorya",,"=""""","=""""",5,4.50,,Kindle Edition,178,2025,,2025/12/19,2025/12/16,,,read,"Una comedia romántica que huele a magia navideña<br/><br/>Olor a Navidad es una historia que te atrapa desde el título: una mezcla de risas, equívocos, perfume caro… y mucho corazón. La novela nos presenta a Clara, una creativa llena de ilusión y ganas de hacer las cosas bien, aunque la vida insista en ponerle giros inesperados. Cuando le toca salvar una campaña navideña en apuros, lo último que imagina es que ese trabajo la pondrá cara a cara con Samuel, un ejecutivo atractivo con su propia dosis de estrés y dudas. <br/><br/>La chispa entre ellos no tarda en encenderse —y menos aún cuando aparece Pierre Pétard, un perfumista excéntrico cuyo talento creativo va de la mano con el caos. Ese contraste entre felicidad y desastre creativo es una de las grandes virtudes de la novela: cada escena tiene un toque de humor natural, personajes que no se toman demasiado en serio y situaciones que te sacan una sonrisa sin perder la calidez propia de las fiestas. <br/><br/>Lo que más me gustó es cómo Victorya Serrada combina el espíritu navideño con una comedia romántica sincera. No hay artificios forzados, sino momentos que se sienten reales, cercanos: la incertidumbre, las malas decisiones que abrazamos con humor, el nerviosismo de creer que el amor puede llegar cuando menos lo esperamos, incluso en medio del olor de un perfume imposible. <br/><br/>Olor a Navidad es perfecta para leer bajo una manta con un chocolate caliente o un café, dejándote llevar por una historia que celebra la imperfección de lo humano y la magia de estas fechas. Si lo que buscas es una novela romántica que te haga reír, suspirar y sentir el espíritu navideño sin cursilerías, esta es de las que enamoran.",,,1,0
